INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Alliant International University,0.4922,NULL,19768,28901,0.3228,NULL,0.381,2.7,2000,18711,51800
Alliant International University-Fresno,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,2000,NULL,51800
Alliant International University-Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,2000,NULL,51800
Alliant International University-San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,2000,NULL,51800
Alliant International University-Irvine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,2000,NULL,51800
Alliant International University-Sacramento,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.7,2000,NULL,51800
California State University-Bakersfield,0.6626,6601,NULL,18061,0.5843,0.3946,0.4158,9.6,16174.5,28069.5,48100
California State University-Stanislaus,0.7215,5128,NULL,17161,0.5774,0.5198,0.4286,4.9,16500,31658.5,44900
California State University-San Bernardino,0.5831,5231,NULL,17030,0.5799,0.4112,0.4698,9.7,18482,28986.5,45500
California State Polytechnic University-Pomona,0.5218,8401,NULL,19402,0.4404,0.5237,0.3883,3.8,18001,30962,52000
California State University-Chico,0.7161,10613,NULL,22926,0.3893,0.5605,0.452,7.6,16500,37864,45100
California State University-Dominguez Hills,0.5747,1946,NULL,12957,0.5862,0.2935,0.4291,11.2,17201.5,25199.5,42800
California State University-Fresno,0.5815,4983,NULL,16377,0.5407,0.4859,0.3628,6.5,16500,28781,43200
California State University-Fullerton,0.4579,5178,NULL,16663,0.4061,0.5347,0.3327,5.6,14718,31500,46500
California State University-East Bay,0.6872,9575,NULL,20676,0.4426,0.3808,0.3844,5.8,16312,22898,51300
California State University-Long Beach,0.3082,6672,NULL,18085,0.4733,0.6033,0.393,5.5,15775,30725,46900
California State University-Los Angeles,0.6752,3845,NULL,14747,0.6447,0.3565,0.3924,7.6,14125,20015,44900
California State University-Northridge,0.4624,9207,NULL,20899,0.4848,0.4575,0.3636,7.6,15000,27373,44200
California State University-Sacramento,0.6968,7652,NULL,19380,0.505,0.4285,0.4153,7.1,17250,28449,46500
University of California-Berkeley,0.18,8883,NULL,32715,0.3237,0.9103,0.3021,3.8,14667,39266,62700
University of California-Davis,0.4521,9965,NULL,31803,0.4297,0.8133,0.4467,3.8,15000,41894,57100
University of California-Irvine,0.4239,8521,NULL,28980,0.432,0.8585,0.4418,3.1,17414,50385,55800
University of California-Los Angeles,0.2199,9099,NULL,31474,0.3624,0.9031,0.374,2.2,15900,34557.5,59200
University of California-Riverside,0.62,7935,NULL,29787,0.564,0.6617,0.5688,6.1,19500,43078.5,48700
University of California-San Diego,0.375,9279,NULL,29751,0.4274,0.858,0.4731,2.9,19266,41248,59600
University of California-San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,NULL,10032,118900
University of California-Santa Barbara,0.4444,9955,NULL,31913,0.3798,0.807,0.438,4.5,18057,51240,52000
University of California-Santa Cruz,0.5991,10442,NULL,33208,0.4459,0.7267,0.5586,5.7,19737.5,58508,44600
Sofia University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
California Beauty School,NULL,NULL,12507,NULL,0.6135,NULL,0.6748,11.9,8403,15094,NULL
California Christian College,0.8333,NULL,11734,17109,0.5429,0.25,0.5429,17.1,NULL,13057,NULL
California College San Diego,NULL,NULL,22638,27138,0.7156,0.5845,0.6289,25.9,25903,27022.5,40400
Le Cordon Bleu College of Culinary Arts-San Francisco,NULL,NULL,17523,23262,0.4066,NULL,0.5669,25,12136,42802,32800
California Hair Design Academy,NULL,NULL,15296,NULL,0.4957,NULL,0.4725,14.8,7500,26306,16500
California Institute of the Arts,0.2992,NULL,37710,56435,0.3337,0.5746,0.6211,6.1,29400,29403.5,32500
California Maritime Academy,0.748,12144,NULL,22223,0.3762,0.5871,0.6043,5.8,26000,60317.5,81100
California Western School of Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.5,NULL,3702.5,85900
Canada College,NULL,2778,NULL,9010,0.1566,NULL,0.0179,12.5,NULL,14050,29300
College of the Canyons,NULL,5954,NULL,11251,0.2279,NULL,0.0446,16.8,10500,22882.5,34200
Career Academy of Beauty,NULL,NULL,10656,NULL,0.5229,NULL,0.5784,14.5,6333,18295,18400
Casa Loma College-Van Nuys,1,NULL,25439,NULL,0.7058,NULL,0.6684,6.4,16862,26522,47400
Casa Loma College-Hawthorne,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.4,16862,26522,47400
CET-San Diego,NULL,NULL,13879,NULL,0.6607,NULL,0.4472,22.2,5450,13334,21600
CET-Sobrato,NULL,NULL,12812,NULL,0.6319,NULL,0.3681,22.2,5450,13334,21600
CET-El Centro,NULL,NULL,-264,NULL,0.4565,NULL,0.0783,22.2,5450,13334,21600
CET-San Bernardino,NULL,NULL,12211,NULL,0.7046,NULL,0.4128,22.2,5450,13334,21600
CET-Watsonville,NULL,NULL,11248,NULL,0.386,NULL,0.0791,22.2,5450,13334,21600
CET-Gilroy,NULL,NULL,4571,NULL,0.4669,NULL,0.0809,22.2,5450,13334,21600
CET-Salinas,NULL,NULL,12479,NULL,0.4167,NULL,0.0577,22.2,5450,13334,21600
Cerritos College,NULL,3155,NULL,9066,0.4706,NULL,0.0441,14.7,7250,18314,31400
Cerro Coso Community College,NULL,5413,NULL,11064,0.1763,NULL,0,19.6,NULL,10546,24900
Chabot College,NULL,5504,NULL,11350,0.2546,NULL,0.0212,23.2,10250,13357,32900
Chaffey College,NULL,7933,NULL,14156,0.3683,NULL,0,10.5,NULL,17705.5,28100
Chapman University,0.4471,NULL,24824,57020,0.2035,0.761,0.6536,3.5,20250,53889,51800
Charles R Drew University of Medicine and Science,0.8889,NULL,NULL,26941,0.5185,NULL,0.7407,6.6,30000,24388,63000
Concordia University-Irvine,0.9119,NULL,20220,41233,0.2503,0.6256,0.6231,3.5,21500,71434,42100
San Diego Christian College,0.492,NULL,24456,37696,0.6475,0.4125,0.8793,8.4,20249,51463,34400
Church Divinity School of the Pacific,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Citrus College,NULL,2185,NULL,8257,0.3254,NULL,0.0307,10.5,6852,17848.5,29100
Citrus Heights Beauty College,NULL,NULL,8488,NULL,0.3247,NULL,0,0,NULL,NULL,NULL
City College of San Francisco,NULL,3696,NULL,9757,0.2581,NULL,0.0399,21.1,10500,10322,36900
Claremont Graduate University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,NULL,8205.5,60800
Claremont McKenna College,0.1173,NULL,9073,60065,0.1163,0.9254,0.0862,0,14000,88986.5,63600
Milan Institute-Visalia,NULL,NULL,18261,NULL,0.7094,NULL,0.6462,22.7,9500,15927,23400
Clovis Adult Education,NULL,12685,NULL,NULL,0.1237,NULL,0,0,NULL,17970.5,33000
Coastline Community College,NULL,5379,NULL,11569,0.1754,NULL,0.0547,16.4,8000,15388.5,30500
Cogswell College,0.7784,NULL,19830,32243,0.399,0.3125,0.6292,11.9,32875,48065.5,48500
Coleman University,1,NULL,26043,29842,0.4873,0.5116,0.6057,16.4,29177,30586.5,49200
COBA Academy,NULL,NULL,NULL,NULL,0.1528,NULL,0.1389,2.9,13277.5,31459.5,NULL
Western University of Health Sciences,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,23437.5,123200
Columbia College,NULL,6540,NULL,12210,0.2883,NULL,0,0,NULL,11917,23000
Columbia College-Hollywood,0.548,NULL,23569,30642,0.4847,0.4912,0.7604,7.8,31000,38841,NULL
El Camino College-Compton Center,NULL,6723,NULL,12723,0.2272,NULL,0.0123,20.6,5812,12774.5,30200
Contra Costa College,NULL,9257,NULL,15105,0.2864,NULL,0.0275,20.4,7799.5,11263,29000
Cosumnes River College,NULL,7626,NULL,13537,0.2425,NULL,0.0516,19.6,10000,12739,28000
Crafton Hills College,NULL,10675,NULL,16696,0.2019,NULL,0,13,NULL,19197,30500
Cuesta College,NULL,9873,NULL,15304,0.1684,NULL,0.0489,11.1,9500,19179,32900
Cuyamaca College,NULL,1793,NULL,7866,0.2596,NULL,0.0146,15,NULL,13447,26800
Cypress College,NULL,4265,NULL,10174,0.2652,NULL,0.0263,20.3,9000,17072,33000
De Anza College,NULL,4177,NULL,10046,0.1589,NULL,0.0421,17.1,NULL,14955,43600
Marinello Schools of Beauty-Hemet,NULL,NULL,15032,NULL,0.7481,NULL,0.7489,22.5,9960,NULL,13200
Marinello Schools of Beauty-Bell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello Schools of Beauty-City of Industry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello Schools of Beauty-Paramount,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello Schools of Beauty-Huntington Beach,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello Schools of Beauty-Layton,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello Schools of Beauty-Ogden,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello School of Beauty-Cathedral City,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello School of Beauty-Murrieta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
Marinello School of Beauty-Napa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.5,9960,NULL,NULL
International School of Beauty Inc,NULL,NULL,12128,NULL,0.5429,NULL,0.5229,22,7211,NULL,NULL
Dell'Arte International School of Physical Theatre,0.6667,NULL,NULL,NULL,0,NULL,0,9.2,NULL,24407,NULL
College of the Desert,NULL,7943,NULL,14046,0.4542,NULL,0.0418,23,9000,21097.5,29700
Design Institute of San Diego,NULL,NULL,23764,29477,0.5784,0.6667,0.7402,4.5,38087,34299,33900
Diablo Valley College,NULL,8580,NULL,14386,0.1388,NULL,0.0108,15.4,NULL,14205,38300
Dominican University of California,0.7752,NULL,26491,56165,0.3232,0.5387,0.8516,4.7,27000,54367,51400
Dominican School of Philosophy & Theology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.6,NULL,NULL,NULL
East Los Angeles College,NULL,8881,NULL,14906,0.2731,NULL,0.014,19.2,9000,16815,31600
Marinello Schools of Beauty-Santa Clara,NULL,NULL,15724,NULL,0.6944,NULL,0.7452,26.2,10000,12679,NULL
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.2,10000,NULL,NULL
Marinello School of Beauty-San Mateo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.2,10000,NULL,NULL
Marinello School of Beauty-Hayward,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.2,10000,NULL,NULL
Marinello School of Beauty-Castro Valley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.2,10000,NULL,NULL
El Camino Community College District,NULL,10072,NULL,16018,0.2575,NULL,0.0115,20.6,5812,15039,30200
Elegance International,NULL,NULL,29426,NULL,0.6567,NULL,0.7413,21.4,6333,19767,NULL
Marinello Schools of Beauty-Burbank,NULL,NULL,14478,NULL,0.7678,NULL,0.7041,18.7,10481,16413,12600
Marinello School of Beauty-Palmdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.7,10481,NULL,NULL
Marinello Schools of Beauty-Moreno Valley,NULL,NULL,15685,NULL,0.7462,NULL,0.7879,23.6,10951,16916,11700
Marinello School of Beauty-San Rafael,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.6,10951,NULL,NULL
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.7,NULL,NULL,NULL
Empire College School of Business,NULL,NULL,15861,NULL,0.3192,NULL,0.5371,16.9,16500,24812,34500
Evergreen Valley College,NULL,8192,NULL,14405,0.3153,NULL,0.0219,13,9500,13033,32700
Fashion Institute of Design & Merchandising-Los Angeles,0.5701,NULL,36173,42958,0.3179,0.6196,0.596,8.2,12000,49904,34500
Fashion Institute of Design & Merchandising-San Francisco,0.6358,NULL,33531,42052,0.3533,0.5667,0.6253,8.2,12000,49904,34500
Fashion Institute of Design & Merchandising-Orange County,0.6915,NULL,30141,38721,0.4642,NULL,0.7201,8.2,12000,49904,34500
Feather River Community College District,NULL,9405,NULL,14923,0.3208,NULL,0.2141,21.1,8000,24451.5,26900
Federico Beauty Institute,NULL,NULL,16141,NULL,0.603,NULL,0.6104,17.7,9429,30656,21000
Fielding Graduate University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Five Branches University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.3,NULL,4563,NULL
San Jose Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.3,NULL,NULL,NULL
Hair California Beauty Academy,NULL,NULL,7304,NULL,0.019,NULL,0,NULL,NULL,NULL,NULL
Foothill College,NULL,4743,NULL,10399,0.0864,NULL,0.0413,15.8,10500,15491,47600
Franciscan School of Theology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL
Franciscan School of Theology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,NULL
Fredrick and Charles Beauty College,NULL,NULL,8246,NULL,0.6726,NULL,0,0,NULL,10608,NULL
Fresno City College,NULL,4947,NULL,10821,0.3821,NULL,0.0329,38.4,4500,14853,26000
Fresno Pacific University,0.7844,NULL,12657,33973,0.5761,0.5412,0.6928,5.9,19205,44931.5,39700
Fuller Theological Seminary in California,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,NULL,6838,NULL
Fullerton College,NULL,4476,NULL,10651,0.2486,NULL,0.0235,19.6,NULL,18203,32700
Gavilan College,NULL,5953,NULL,11544,0.2332,NULL,0.0319,27.2,9998.5,16802,26900
Gemological Institute of America-Carlsbad,NULL,NULL,31162,NULL,0.0933,NULL,0.1995,1.5,9516,27503,38800
Glendale Community College,NULL,2861,NULL,8875,0.4099,NULL,0.0367,6.6,NULL,13561,30800
Glendale Career College,1,NULL,16721,NULL,0.6698,NULL,0.9294,14.6,11542.5,17188,27800
Golden Gate University-San Francisco,NULL,NULL,NULL,NULL,0.3474,NULL,0.5912,3.5,28117.5,29724,64200
Golden Gate University-Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.5,28117.5,29724,64200
Golden Gate University-Seattle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.5,28117.5,29724,64200
Golden Gate University-Silicon Valley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.5,28117.5,29724,64200
Golden West College,NULL,10198,NULL,16230,0.2768,NULL,0.028,15.4,7054,14732,31700
Graduate Theological Union,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Grossmont College,NULL,2277,NULL,7759,0.2278,NULL,0.0256,14.2,4500,16961,32300
Salon Success Academy-San Bernardino,NULL,NULL,10709,NULL,0.7593,NULL,0.6111,17.1,11339,12512,12200
Hartnell College,NULL,8661,NULL,14629,0.3227,NULL,0,28.9,4500,20959.5,29500
Harvey Mudd College,0.1817,NULL,8863,60613,0.1314,0.9082,0.4413,0,25696,86164.5,78600
Heald College-Rancho Cordova,NULL,NULL,19094,24503,0.7893,NULL,0.7595,10.1,11250,22672,35200
Heald College-Fresno,NULL,NULL,16897,23046,0.8886,NULL,0.815,10.1,11250,15885,30100
Heald College-San Jose,NULL,NULL,17553,23209,0.7587,NULL,0.8001,10.1,11250,25240,42100
Heald College-San Francisco,NULL,NULL,17858,23587,0.7369,NULL,0.778,10.1,11250,27143,37400
Heald College-Concord,NULL,NULL,17361,22720,0.7608,NULL,0.8038,10.1,11250,20959.5,40000
Hilltop Beauty School,NULL,NULL,11765,NULL,0.7098,NULL,0,0,NULL,18921,17200
Holy Names University,0.5668,NULL,9725,46994,0.4618,0.3548,0.8124,5.9,30750,45708,50100
Pacifica Graduate Institute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Humboldt State University,0.8018,11212,NULL,23113,0.5162,0.4004,0.605,11.8,20250,26935.5,36200
Humphreys College-Stockton and Modesto Campuses,NULL,NULL,14195,21029,0.755,0.931,0.922,14.2,29168,22573,31300
Humphreys College-Modesto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.2,29168,22573,31300
Imperial Valley College,NULL,2916,NULL,9327,0.562,NULL,0,0,NULL,17702,24500
Institute for Business and Technology,NULL,NULL,22292,NULL,0.8808,NULL,0.8808,28.8,8023,17905.5,35500
Interior Designers Institute,NULL,NULL,NULL,NULL,0.164,NULL,0.3628,6.7,32000,57540,25200
Toni & Guy Hairdressing Academy-Santa Monica,NULL,NULL,13534,NULL,0.6005,NULL,0.6614,27,15135.5,14328,NULL
International School of Cosmetology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,15135.5,NULL,NULL
Irvine Valley College,NULL,10437,NULL,16598,0.125,NULL,0.0148,14.7,10000,17133,35200
ATEP at IVC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7,10000,NULL,NULL
ITT Technical Institute-National City,0.9298,NULL,22519,26686,0.6058,0.2704,0.587,22.4,25833.5,28692,38400
ITT Technical Institute-San Dimas,0.9617,NULL,20393,26194,0.7605,0.3874,0.8027,22.4,25833.5,30021,38400
ITT Technical Institute-Orange,0.91,NULL,21610,25603,0.7235,0.3663,0.8164,22.4,25833.5,30155,38400
Bellus Academy-El Cajon,NULL,NULL,24819,NULL,0.5243,NULL,0.6181,12.2,10556,27070,17000
John F Kennedy University,NULL,NULL,NULL,NULL,0.5127,NULL,0.8618,6.6,25000,31386,39500
American Jewish University,0.59,NULL,39083,46466,0.3071,0.8125,0.35,4.3,23250,54611,NULL
Reedley College,NULL,3813,NULL,10026,0.3128,NULL,0.0008,39.3,4096,20503,25200
Life Pacific College,0.7482,NULL,15896,24492,0.3942,0.5111,0.5427,5.4,20600,45853,31200
The Art Institute of California-Argosy University San Diego,NULL,NULL,23548,30521,0.6185,0.4254,0.6776,19.4,14323,39753,38200
University of La Verne,0.3895,NULL,16254,45305,0.4647,0.5928,0.6816,3.8,25000,39519,52700
Laguna College of Art and Design,0.4327,NULL,35497,39713,0.4114,0.6333,0.7177,8.4,29500,47903,39800
Lake Tahoe Community College,NULL,4811,NULL,9836,0.2235,NULL,0,25.2,NULL,12925,28400
Lancaster Beauty School,NULL,NULL,13243,NULL,0.5432,NULL,0.5617,10.7,6970,14842,15700
Laney College,NULL,8246,NULL,14398,0.2256,NULL,0.0169,10.8,NULL,7265,27600
Lassen Community College,NULL,7682,NULL,13925,0.2011,NULL,0.0559,30.8,NULL,15219.5,25300
Life Chiropractic College West,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9,NULL,NULL,NULL
Lincoln University,NULL,NULL,15577,20725,0.3684,0.7576,0.7368,16.1,NULL,26485,NULL
Southern California Seminary,NULL,NULL,NULL,NULL,0.2469,0,0.8642,3.9,NULL,24866,NULL
La Sierra University,0.4677,NULL,19666,39842,0.4819,0.4918,0.6943,6.3,27000,51186,41300
Loma Linda University,NULL,NULL,NULL,NULL,0.2904,NULL,0.6732,3.1,21875,27587,72800
Long Beach City College,NULL,4732,NULL,10615,0.4402,NULL,0.0599,30.1,9250,11012.5,27800
Southern California University of Health Sciences,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.2,NULL,NULL,NULL
Los Angeles Harbor College,NULL,8346,NULL,13977,0.3478,NULL,0.0146,16.4,5542,14864,29700
Los Angeles Pierce College,NULL,8147,NULL,14213,0.3373,NULL,0.059,20.1,11664,16710,33600
Los Angeles Southwest College,NULL,6063,NULL,11945,0.3783,NULL,0.0334,66.6,4875,9789,25900
Los Angeles Trade Technical College,NULL,5074,NULL,11030,0.371,NULL,0.0563,20,4500,11260,26500
Los Angeles Valley College,NULL,7511,NULL,13353,0.3189,NULL,0.049,18.8,10500,14856,30600
The Master's College and Seminary,0.6137,NULL,20307,40815,0.3051,0.5362,0.5335,2.5,20500,62514,40900
Los Angeles City College,NULL,5435,NULL,11090,0.3279,NULL,0.0516,22.6,8000,9012,25600
Los Angeles County College of Nursing and Allied Health,NULL,NULL,NULL,NULL,0.3744,NULL,0.4787,9.4,14330,30703,85800
Los Angeles Mission College,NULL,7405,NULL,13281,0.3372,NULL,0.0352,19.1,9849,18762,28900
Los Medanos College,NULL,8387,NULL,14140,0.2708,NULL,0.0089,17.3,NULL,13368,34300
The Art Institute of California-Argosy University San Francisco,NULL,NULL,26353,33206,0.5993,0.3604,0.8111,19.4,14323,37488,38200
Loyola Marymount University,0.5412,NULL,24537,55432,0.1923,0.7583,0.4747,3.9,22299.5,76696,55600
Lu Ross Academy,NULL,NULL,9545,NULL,0.6403,NULL,0.6735,21.8,8418.5,NULL,NULL
Manchester Beauty College,NULL,NULL,12665,NULL,0.0519,NULL,0,0,NULL,14959,18200
Tulare Beauty College,NULL,NULL,9582,NULL,0.1176,NULL,0,0,NULL,13234,NULL
Lyles Fresno College of Beauty,NULL,NULL,7005,NULL,0.4474,NULL,0.2719,0,6333,12742,17300
Lytles Redwood Empire Beauty College Inc,NULL,NULL,10340,NULL,0.3835,NULL,0.4903,12.8,7652,39572,16700
MTI Business College Inc,NULL,NULL,18103,NULL,1,NULL,1,4.3,9500,5170.5,25200
MTI College,NULL,NULL,12463,NULL,0.6539,NULL,0.7254,8.8,10247.5,20887,38500
Kaplan College-Sacramento,NULL,NULL,25191,NULL,0.5732,NULL,0.5922,23.2,9495,9618.5,26900
Kaplan College-San Diego,NULL,NULL,23997,NULL,0.3635,NULL,0.3786,10.3,9500,27204,35300
Kaplan College-Vista,NULL,NULL,25011,NULL,0.3456,NULL,0.3405,17,9500,23456,32600
College of Marin,NULL,8298,NULL,13794,0.2458,NULL,0.0921,23.9,10875,9985,32300
Marinello Schools of Beauty-Los Angeles,NULL,NULL,15372,NULL,0.759,NULL,0.7781,26.6,10555,15337,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,14000
Marinello School of Beauty-El Cajon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,NULL
Marinello Schools of Beauty-Victorville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,NULL
Marinello Schools of Beauty-Anaheim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,NULL
Marinello Schools of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,NULL
Marinello Schools of Beauty-Lomita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,10555,NULL,NULL
Marymount California University,NULL,NULL,18851,44406,0.4056,0.3144,0.5694,11.5,16000,49503,32600
Mendocino College,NULL,8453,NULL,14316,0.3577,NULL,0.0581,14.7,15381.5,14230.5,23500
Menlo College,0.3705,NULL,21289,51649,0.3333,0.4076,0.591,9.7,23250,54828,50600
Merced College,NULL,3034,NULL,9094,0.4734,NULL,0,0,NULL,16223,26100
Merritt College,NULL,10104,NULL,15651,0.2235,NULL,0.0417,24.1,NULL,10026,28500
Mills College,0.6798,NULL,19907,54668,0.4674,0.6142,0.7279,5.7,24500,35189.5,39000
MiraCosta College,NULL,3451,NULL,9338,0.1202,NULL,0.0165,11.2,4500,18199,29500
Marinello Schools of Beauty-San Francisco,NULL,NULL,16298,NULL,0.7229,NULL,0.7322,19,10221.5,16861,25700
Marinello School of Beauty-Chico,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,10221.5,NULL,NULL
Marinello School of Beauty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,10221.5,NULL,NULL
Marinello School of Beauty-Fresno,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,10221.5,NULL,NULL
Mission College,NULL,8096,NULL,13902,0.2534,NULL,0.0078,16.6,7500,11121.5,32800
Modern Beauty Academy,NULL,NULL,10569,NULL,0.8451,NULL,0.6056,12.5,5700,14075,15900
Kaplan College-North Hollywood,NULL,NULL,21867,NULL,0.4352,NULL,0.4754,16.5,9500,22998,35000
Modesto Junior College,NULL,6864,NULL,12734,0.3901,NULL,0,0,NULL,14448,27500
Moler Barber College,NULL,NULL,8506,NULL,0.9685,NULL,0.9528,0,9500,0,NULL
Monterey Institute of International Studies,NULL,NULL,NULL,NULL,0.3636,NULL,0.5909,1.6,19500,8133,53400
Monterey Peninsula College,NULL,6328,NULL,12092,0.1298,NULL,0.0239,23.3,15200,15273,34100
Moorpark College,NULL,2770,NULL,8501,0.1756,NULL,0.0281,8.6,13000,19670,38500
Mt San Antonio College,NULL,3101,NULL,9281,0.3862,NULL,0.0159,17,6000,18578,33800
Mount St Mary's College,0.7409,NULL,22699,47905,0.5875,0.6379,0.9203,5.8,25000,39973.5,50200
Mount St. Mary's College - Doheny Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.8,25000,39973.5,50200
Mt San Jacinto Community College District,NULL,6428,NULL,12010,0.3641,NULL,0,29.5,NULL,16345,26500
